지역명,규모구분,연도,월,분양가격(제곱미터)
경북,전용면적 60제곱미터이하,2016,03,2173
경북,전용면적 60제곱미터초과 85제곱미터이하,2016,03,2191
경북,전용면적 85제곱미터초과 102제곱미터이하,2016,03,2675
경북,전용면적 102제곱미터초과,2016,03,2314
경남,모든면적,2016,03,2383
경남,전용면적 60제곱미터이하,2016,03,2366
경남,전용면적 60제곱미터초과 85제곱미터이하,2016,03,2392
경남,전용면적 85제곱미터초과 102제곱미터이하,2016,03,3053
경남,전용면적 102제곱미터초과,2016,03,2645
제주,모든면적,2016,03,2314
제주,전용면적 60제곱미터이하,2016,03,
제주,전용면적 60제곱미터초과 85제곱미터이하,2016,03,2314
제주,전용면적 85제곱미터초과 102제곱미터이하,2016,03,
제주,전용면적 102제곱미터초과,2016,03,
서울,모든면적,2016,04,6241
서울,전용면적 60제곱미터이하,2016,04,6618
서울,전용면적 60제곱미터초과 85제곱미터이하,2016,04,6196
서울,전용면적 85제곱미터초과 102제곱미터이하,2016,04,8096
서울,전용면적 102제곱미터초과,2016,04,6353
인천,모든면적,2016,04,3238
인천,전용면적 60제곱미터이하,2016,04,3323
인천,전용면적 60제곱미터초과 85제곱미터이하,2016,04,3147
